City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,borba,-4.3878,-59.5939,303.01,84,71,0.9,BR,1713899945
1,port-aux-francais,-49.35,70.2167,277.4,68,38,16.96,TF,1713899946
2,constitucion,-35.3333,-72.4167,290.84,44,0,6.46,CL,1713899946
3,al bawiti,28.3492,28.8659,302.42,9,0,2.81,EG,1713899947
4,mujiayingzi,42.1167,118.7833,277.26,71,0,3.04,CN,1713899948
5,grytviken,-54.2811,-36.5092,271.05,74,30,16.32,GS,1713899948
6,sitka,57.0531,-135.33,283.09,53,75,4.63,US,1713899950
7,nagqu,31.5,92.0,274.62,36,93,1.86,CN,1713899951
8,tralee,52.2704,-9.7026,283.79,87,97,2.87,IE,1713899861
9,stanley,54.868,-1.6985,279.97,78,20,4.63,GB,1713899952
10,blackmans bay,-43.0167,147.3167,282.22,84,100,0.89,AU,1713899954
11,puerto iguazu,-25.5991,-54.5736,295.57,96,75,5.66,AR,1713899955
12,oriximina,-1.7656,-55.8661,302.93,75,88,0.94,BR,1713899956
13,iqaluit,63.7506,-68.5145,263.0,79,100,13.38,CA,1713899957
14,troitsko-pechorsk,62.7084,56.1964,270.76,82,100,4.47,RU,1713899958
15,sumy,50.9216,34.8003,282.61,71,89,2.4,UA,1713899959
16,waitangi,-43.9535,-176.5597,286.38,91,100,3.13,NZ,1713899960
17,katabu,-4.9333,122.5167,297.59,97,64,1.95,ID,1713899961
18,namibe,-15.1961,12.1522,297.1,80,100,2.26,AO,1713899968
19,toungo,8.1167,12.05,304.53,31,94,1.56,NG,1713899969
20,kyrenia,35.3417,33.3167,293.9,59,100,2.93,CY,1713899698
21,qamdo,31.1667,97.2333,274.92,78,100,0.94,CN,1713899970
22,reggane,26.7158,0.1714,300.77,15,0,1.43,DZ,1713899972
23,ulsteinvik,62.3432,5.8487,279.12,84,100,5.36,NO,1713899682
24,cabo san lucas,22.8909,-109.9124,305.32,30,0,2.57,MX,1713899975
25,san patricio,28.017,-97.5169,299.18,70,100,6.03,US,1713899975
26,rio grande,-32.035,-52.0986,302.21,78,100,2.21,BR,1713899865
27,cheremukhovo,60.3484,59.9851,271.46,72,100,3.13,RU,1713899978
28,tazovsky,67.4667,78.7,256.65,97,38,4.15,RU,1713899994
29,ancud,-41.8697,-73.8203,285.09,62,96,2.91,CL,1713899737
30,puerto ayora,-0.7393,-90.3518,304.13,89,97,1.34,EC,1713899996
31,vikhorevka,56.1201,101.1636,268.92,90,46,1.32,RU,1713899996
32,hiratacho,35.4333,132.8167,291.16,100,75,1.03,JP,1713899997
33,teknaf,20.8624,92.3058,299.26,86,2,1.51,BD,1713899998
34,yellowknife,62.456,-114.3525,275.05,72,75,2.06,CA,1713899999
35,tadine,-21.55,167.8833,297.78,91,100,7.29,NC,1713899999
36,ilulissat,69.2167,-51.1,285.16,40,75,8.75,GL,1713900000
37,tateyama,34.9833,139.8667,289.32,81,100,6.0,JP,1713900002
38,al kharijah,25.4514,30.5464,304.15,8,0,2.54,EG,1713899786
39,tofol,5.3248,163.0078,301.57,81,54,6.92,FM,1713900003
40,kone,-21.0595,164.8658,295.99,96,0,0.79,NC,1713899722
